"","Site","unique_individuals","Latitude","Longitude"
"1","B81",2,15.09083102,145.63632
"2","B91",1,15.09254797,145.645308
"3","C71",1,15.081796,145.627342
"4","C81",4,15.08204503,145.63804
"5","C91",1,15.08381403,145.647229
"6","D51",2,15.067774,145.612644
"7","D61",4,15.06964099,145.621646
"8","D71",2,15.07131896,145.630837
"9","D81",6,15.07299802,145.639957
"10","D91",1,15.07483902,145.649112
"11","E51",2,15.058943,145.615465
"12","E61",2,15.06064704,145.623538
"13","E71",4,15.06243397,145.632593
"14","E81",9,15.06427003,145.641697
"15","E91",2,15.06628898,145.651653
"16","F51",1,15.05005801,145.616289
"17","F71",1,15.05359501,145.634454
"18","F81",4,15.05533199,145.643652
"19","F91",6,15.057174,145.65276
"20","G31",2,15.03790098,145.601185
"21","G41",3,15.03936999,145.608902
"22","G61",2,15.04311101,145.627571
"23","G71",2,15.04471103,145.636371
"24","G81",3,15.04648497,145.645386
"25","H3",2,15.028613,145.599994
"26","H4",2,15.030569,145.610189
"27","H5",1,15.03211102,145.619944
"28","H6",5,15.03402896,145.629037
"29","H7",3,15.03576402,145.638635
"30","H8",5,15.03764399,145.64703
"31","I1",5,15.016318,145.585392
"32","I2",2,15.01663601,145.595259
"33","I3",4,15.01982801,145.603568
"34","I4",3,15.02161101,145.612597
"35","I5",6,15.02345804,145.62178
"36","I6",4,15.02504197,145.630974
"37","I7",5,15.02702303,145.639962
"38","I8",5,15.02881701,145.649071
"39","J4",1,15.01284404,145.614499
"40","J6",3,15.016361,145.632656
"41","J7",8,15.01804098,145.641923
"42","J8",3,15.01994502,145.650992
"43","K1",3,14.99872397,145.589107
"44","K2",1,15.00030496,145.598388
"45","K7",2,15.009371,145.643694
"46","K9",3,15.01284303,145.66193
"47","L6",1,14.99852397,145.636155
"48","L8",4,15.00144096,145.653984
