File,Image ID,Site,Latitude,Longitude,Timestamp,Capture Number,Cluster ID,Individuals,Sighting Count
Tinian Cats 2024-2025/Cat Images/B81/B81_Collected_12-02-24/RCNX0301.JPG,241486861,B81,15.0908,145.636,11/20/24 18:15,1,136200983,71209,1
Tinian Cats 2024-2025/Cat Images/B81/B81_Collected_12-02-24/RCNX0302.JPG,241487943,B81,15.0908,145.636,11/20/24 18:15,1,136200983,71209,1
Tinian Cats 2024-2025/Cat Images/B81/B81_Collected_12-02-24/RCNX0303.JPG,241486862,B81,15.0908,145.636,11/20/24 18:15,2,136200983,71209,1
Tinian Cats 2024-2025/Cat Images/B81/B81_Collected_12-02-24/RCNX0305.JPG,241487789,B81,15.0908,145.636,11/20/24 18:15,3,136200983,71209,1
Tinian Cats 2024-2025/Cat Images/B81/B81_Collected_12-02-24/RCNX0304.JPG,241487938,B81,15.0908,145.636,11/20/24 18:15,3,136200983,71209,1
Tinian Cats 2024-2025/Cat Images/B81/B81_Collected_12-02-24/RCNX0306.JPG,241486853,B81,15.0908,145.636,11/20/24 18:15,4,136200983,71209,1
Tinian Cats 2024-2025/Cat Images/B81/B81_Collected_12-02-24/RCNX0307.JPG,241486863,B81,15.0908,145.636,11/20/24 18:15,4,136200983,71209,1
Tinian Cats 2024-2025/Cat Images/B81/B81_Collected_12-02-24/RCNX0308.JPG,241487940,B81,15.0908,145.636,11/20/24 18:15,5,136200983,71209,1
Tinian Cats 2024-2025/Cat Images/B81/B81_Collected_12-02-24/RCNX0309.JPG,241487946,B81,15.0908,145.636,11/20/24 18:15,6,136200983,71209,1
Tinian Cats 2024-2025/Cat Images/B81/B81_Collected_12-02-24/RCNX0311.JPG,241487791,B81,15.0908,145.636,11/20/24 20:47,7,136200984,73165,1
Tinian Cats 2024-2025/Cat Images/B81/B81_Collected_12-02-24/RCNX0313.JPG,241486860,B81,15.0908,145.636,11/20/24 20:47,8,136200984,73165,1
Tinian Cats 2024-2025/Cat Images/B81/B81_Collected_12-02-24/RCNX0312.JPG,241487784,B81,15.0908,145.636,11/20/24 20:47,8,136200984,73165,1
Tinian Cats 2024-2025/Cat Images/B81/B81_Collected_12-02-24/RCNX0315.JPG,241487786,B81,15.0908,145.636,11/20/24 20:47,9,136200984,73165,1
Tinian Cats 2024-2025/Cat Images/B81/B81_Collected_12-02-24/RCNX0314.JPG,241487939,B81,15.0908,145.636,11/20/24 20:47,9,136200984,73165,1
Tinian Cats 2024-2025/Cat Images/B81/B81_Collected_12-02-24/RCNX0316.JPG,241486855,B81,15.0908,145.636,11/20/24 20:53,10,136200985,73165,1
Tinian Cats 2024-2025/Cat Images/B81/B81_Collected_12-02-24/RCNX0317.JPG,241487782,B81,15.0908,145.636,11/20/24 20:53,10,136200985,73165,1
Tinian Cats 2024-2025/Cat Images/B81/B81_Collected_12-02-24/RCNX0319.JPG,241487942,B81,15.0908,145.636,11/20/24 20:53,11,136200985,73165,1
Tinian Cats 2024-2025/Cat Images/B81/B81_Collected_12-02-24/RCNX0318.JPG,241489044,B81,15.0908,145.636,11/20/24 20:53,11,136200985,73165,1
Tinian Cats 2024-2025/Cat Images/B81/B81_Collected_12-02-24/RCNX0320.JPG,241487792,B81,15.0908,145.636,11/20/24 20:53,12,136200985,73165,1
Tinian Cats 2024-2025/Cat Images/B81/B81_Collected_12-02-24/RCNX0321.JPG,241486859,B81,15.0908,145.636,11/20/24 20:53,13,136200985,73165,1
Tinian Cats 2024-2025/Cat Images/B81/B81_Collected_12-02-24/RCNX0566.JPG,241487937,B81,15.0908,145.636,11/26/24 0:46,14,136200986,unidentifiable,1
Tinian Cats 2024-2025/Cat Images/B81/B81_Collected_12-02-24/RCNX0567.JPG,241486856,B81,15.0908,145.636,11/26/24 0:46,15,136200986,unidentifiable,1
Tinian Cats 2024-2025/Cat Images/B81/B81_Collected_12-02-24/RCNX0568.JPG,241489051,B81,15.0908,145.636,11/26/24 0:46,16,136200986,unidentifiable,1
Tinian Cats 2024-2025/Cat Images/B81/B81_Collected_12-02-24/RCNX0672.JPG,241487934,B81,15.0908,145.636,11/28/24 5:34,17,136200987,71209,1
Tinian Cats 2024-2025/Cat Images/B81/B81_Collected_12-02-24/RCNX0671.JPG,241489043,B81,15.0908,145.636,11/28/24 5:34,17,136200987,71209,1
Tinian Cats 2024-2025/Cat Images/B81/B81_Collected_12-02-24/RCNX0673.JPG,241487933,B81,15.0908,145.636,11/28/24 5:34,18,136200987,71209,1
Tinian Cats 2024-2025/Cat Images/B81/B81_Collected_12-02-24/RCNX0674.JPG,241486848,B81,15.0908,145.636,11/28/24 5:34,19,136200987,71209,1
Tinian Cats 2024-2025/Cat Images/B81/B81_Collected_12-02-24/RCNX0675.JPG,241487936,B81,15.0908,145.636,11/28/24 5:34,19,136200987,71209,1
Tinian Cats 2024-2025/Cat Images/B81/B81_Collected_12-02-24/RCNX0676.JPG,241487781,B81,15.0908,145.636,11/28/24 5:34,20,136200987,71209,1
Tinian Cats 2024-2025/Cat Images/B81/B81_Collected_12-02-24/RCNX0677.JPG,241487930,B81,15.0908,145.636,11/28/24 5:34,20,136200987,71209,1
Tinian Cats 2024-2025/Cat Images/B81/B81_Collected_12-02-24/RCNX0678.JPG,241486858,B81,15.0908,145.636,11/28/24 5:34,21,136200987,71209,1
Tinian Cats 2024-2025/Cat Images/B81/B81_Collected_12-02-24/RCNX0679.JPG,241486857,B81,15.0908,145.636,11/28/24 5:34,22,136200987,71209,1
Tinian Cats 2024-2025/Cat Images/B81/B81_Collected_12-02-24/RCNX0680.JPG,241489049,B81,15.0908,145.636,11/28/24 5:34,22,136200987,71209,1
Tinian Cats 2024-2025/Cat Images/B81/B81_Collected_12-02-24/RCNX0852.JPG,241486854,B81,15.0908,145.636,11/30/24 20:14,23,136200988,73165,1
Tinian Cats 2024-2025/Cat Images/B81/B81_Collected_12-02-24/RCNX0851.JPG,241487779,B81,15.0908,145.636,11/30/24 20:14,23,136200988,73165,1
Tinian Cats 2024-2025/Cat Images/B81/B81_Collected_12-02-24/RCNX0853.JPG,241489048,B81,15.0908,145.636,11/30/24 20:14,24,136200988,73165,1
Tinian Cats 2024-2025/Cat Images/B81/B81_Collected_12-02-24/RCNX0855.JPG,241486852,B81,15.0908,145.636,11/30/24 20:14,25,136200988,73165,1
Tinian Cats 2024-2025/Cat Images/B81/B81_Collected_12-02-24/RCNX0854.JPG,241487935,B81,15.0908,145.636,11/30/24 20:14,25,136200988,73165,1
Tinian Cats 2024-2025/Cat Images/B81/B81_Collected_12-02-24/RCNX0856.JPG,241487928,B81,15.0908,145.636,11/30/24 20:14,26,136200988,73165,1
Tinian Cats 2024-2025/Cat Images/B91/B91_Collected_11-05-24/B91_RCNX0001 (6).JPG,241488018,B91,15.0926,145.645,10/23/24 10:04,1,136200989,74919,1
Tinian Cats 2024-2025/Cat Images/B91/B91_Collected_11-05-24/B91_RCNX0001 (7).JPG,241489035,B91,15.0926,145.645,10/23/24 10:04,1,136200989,74919,1
Tinian Cats 2024-2025/Cat Images/B91/B91_Collected_11-05-24/B91_RCNX0001 (8).JPG,241487919,B91,15.0926,145.645,10/23/24 10:04,2,136200989,74919,1
Tinian Cats 2024-2025/Cat Images/B91/B91_Collected_11-05-24/B91_RCNX0001 (9).JPG,241486849,B91,15.0926,145.645,10/23/24 10:04,3,136200989,74919,1
Tinian Cats 2024-2025/Cat Images/B91/B91_Collected_11-05-24/B91_RCNX0001 (10).JPG,241489038,B91,15.0926,145.645,10/23/24 10:04,4,136200989,74919,1
Tinian Cats 2024-2025/Cat Images/C71/C71_Collected_12-02-24/RCNX0036.JPG,241487929,C71,15.0802,145.629,11/19/24 6:22,1,136200990,70959,1
Tinian Cats 2024-2025/Cat Images/C71/C71_Collected_12-02-24/RCNX0038.JPG,241486847,C71,15.0802,145.629,11/19/24 6:22,2,136200990,70959,1
Tinian Cats 2024-2025/Cat Images/C71/C71_Collected_12-02-24/RCNX0037.JPG,241486850,C71,15.0802,145.629,11/19/24 6:22,2,136200990,70959,1
Tinian Cats 2024-2025/Cat Images/C71/C71_Collected_12-02-24/RCNX0039.JPG,241486851,C71,15.0802,145.629,11/19/24 6:22,3,136200990,70959,1
Tinian Cats 2024-2025/Cat Images/C71/C71_Collected_12-02-24/RCNX0040.JPG,241487926,C71,15.0802,145.629,11/19/24 6:22,3,136200990,70959,1
Tinian Cats 2024-2025/Cat Images/C71/C71_Collected_12-02-24/RCNX0042.JPG,241486837,C71,15.0802,145.629,11/19/24 6:22,4,136200990,70959,1
Tinian Cats 2024-2025/Cat Images/C71/C71_Collected_12-02-24/RCNX0041.JPG,241487932,C71,15.0802,145.629,11/19/24 6:22,4,136200990,70959,1
Tinian Cats 2024-2025/Cat Images/C71/C71_Collected_12-02-24/RCNX0043.JPG,241487931,C71,15.0802,145.629,11/19/24 6:22,5,136200990,70959,1
Tinian Cats 2024-2025/Cat Images/C71/C71_Collected_12-02-24/RCNX0044.JPG,241489041,C71,15.0802,145.629,11/19/24 6:22,5,136200990,70959,1
Tinian Cats 2024-2025/Cat Images/C71/C71_Collected_12-02-24/RCNX0047.JPG,241489036,C71,15.0802,145.629,11/26/24 6:41,6,136200991,unidentifiable,1
Tinian Cats 2024-2025/Cat Images/C71/C71_Collected_12-02-24/RCNX0050.JPG,241488020,C71,15.0802,145.629,11/26/24 6:41,7,136200991,unidentifiable,1
Tinian Cats 2024-2025/Cat Images/C71/C71_Collected_12-02-24/RCNX0049.JPG,241489042,C71,15.0802,145.629,11/26/24 6:41,7,136200991,unidentifiable,1
Tinian Cats 2024-2025/Cat Images/C71/C71_Collected_12-02-24/RCNX0051.JPG,241489039,C71,15.0802,145.629,11/26/24 6:41,8,136200991,unidentifiable,1
Tinian Cats 2024-2025/Cat Images/C71/C71_Collected_12-02-24/RCNX0052.JPG,241486846,C71,15.0802,145.629,11/26/24 6:41,9,136200991,unidentifiable,1
