Site name,Deployment,Termination,Notes,
I5,10/17/2024,11/28/2024,,
F51,10/18/2024,11/29/2024,,
G51,10/18/2024,11/29/2024,,
G61,10/18/2024,11/29/2024,,
H4,10/18/2024,11/29/2024,,
I3,10/18/2024,11/29/2024,,
J4,10/18/2024,11/20/2024,#remove 2 weeks somewhere...,
J4,12/3/2024,12/15/2024,Redeployed to make up for possible missing data.,"Disregard data after 12/15, redeployed to make up for possible missing data"
J5,10/18/2024,11/29/2024,,
J6,10/18/2024,11/16/2024,#remove 11/15 to 11/29/24,
J6,12/03/24,12/17/2024,Redeployed to accomodate 2 weeks of missing data.,Redeployed to accomodate 2 weeks of missing data
B81,10/21/2024,12/02/24,,
C71,10/21/2024,12/02/24,,
D51,10/21/2024,12/02/24,,
D61,10/21/2024,12/02/24,,
E51,10/21/2024,12/02/24,,
E61,10/21/2024,12/02/24,,
G41,10/21/2024,11/22/24,,
G41,12/03/24,12/15/2024,"Dead on termination, redeployed. #study period dates correct","dead on termination, redeployed, disregard data after 12/15"
B91,10/22/2024,12/03/24,,
F91,10/22/2024,12/03/24,,
F71,10/23/2024,12/04/24,,
F81,10/23/2024,12/04/24,,
G71,10/23/2024,12/04/24,,
G81,10/23/2024,12/04/24,,
H7,10/24/2024,12/05/24,,
H8,10/24/2024,12/05/24,,
I8,10/24/2024,12/05/24,,
J8,10/24/2024,12/05/24,,
K9,10/24/2024,12/05/24,,
I1,10/28/2024,12/09/24,,
I4,10/28/2024,12/09/24,,
K1,10/28/2024,12/09/24,,
K2,10/28/2024,12/09/24,,
L6,10/28/2024,12/09/24,,
I2,10/29/2024,12/10/24,,
G31,10/30/2024,12/11/2024,,
H3,10/30/2024,12/11/2024,,
H5,10/30/2024,12/11/2024,,Camera initially deployed on 10/29/24...but changed to 10/30/24 to accomodate check schedule. So ignore data from first trap night
H6,10/30/2024,12/11/2024,,
I6,10/31/2024,12/12/2024,,
I7,10/31/2024,12/12/2024,,
K7,10/31/2024,12/12/2024,,
L8,10/31/2024,12/12/2024,,
J7,11/1/2024,12/13/2024,,
C81,4/24/2025,6/5/2025,,
C91,4/24/2025,6/5/2025,,
D71,4/24/2025,6/5/2025,,
