"","Site.Name","unique_individuals"
"1","B81",2
"2","B91",1
"3","C71",1
"4","C81",4
"5","C91",1
"6","D51",2
"7","D61",4
"8","D71",2
"9","D81",6
"10","D91",1
"11","E51",2
"12","E61",2
"13","E71",4
"14","E81",9
"15","E91",2
"16","F51",1
"17","F71",1
"18","F81",4
"19","F91",6
"20","G31",2
"21","G41",3
"22","G61",2
"23","G71",2
"24","G81",3
"25","H3",2
"26","H4",2
"27","H5",1
"28","H6",5
"29","H7",3
"30","H8",5
"31","I1",5
"32","I2",2
"33","I3",4
"34","I4",3
"35","I5",6
"36","I6",4
"37","I7",5
"38","I8",5
"39","J4",1
"40","J6",3
"41","J7",8
"42","J8",3
"43","K1",3
"44","K2",1
"45","K7",2
"46","K9",3
"47","L6",1
"48","L8",4
