"","animalID","totalDetections","occasionsDetected","trapsVisited"
"73165","73165",72,6,25
"75812","75812",33,5,9
"73813","73813",20,6,10
"75806","75806",12,5,9
"72986","72986",10,5,6
"74935","74935",10,5,5
"75589","75589",9,4,4
"71209","71209",8,3,4
"73013","73013",6,4,2
"74955","74955",5,2,1
"75798","75798",5,2,4
"73797","73797",4,2,2
"74952","74952",4,3,1
"75047","75047",4,3,2
"73817","73817",3,1,1
"75780","75780",3,2,1
"70962","70962",2,2,1
"71361","71361",2,1,1
"72981","72981",2,1,2
"72982","72982",2,2,1
"73028","73028",2,1,1
"70959","70959",1,1,1
"72988","72988",1,1,1
"73014","73014",1,1,1
"73166","73166",1,1,1
"73804","73804",1,1,1
"73809","73809",1,1,1
"74919","74919",1,1,1
"74943","74943",1,1,1
"74963","74963",1,1,1
"74965","74965",1,1,1
"74970","74970",1,1,1
"74983","74983",1,1,1
"75033","75033",1,1,1
"75560","75560",1,1,1
